TIMESTAMP		DIRECTION	DATA
2016-11-16 19:29:13	>>		010F
2016-11-16 19:29:13	<<		7E803410F55
2016-11-16 19:29:13	>>		0105
2016-11-16 19:29:13	<<		7E803410580
2016-11-16 19:29:13	>>		010C
2016-11-16 19:29:14	<<		7E804410C1C32
2016-11-16 19:29:14	>>		010D
2016-11-16 19:29:14	<<		7E803410D35
2016-11-16 19:29:14	>>		010F
2016-11-16 19:29:14	<<		7E803410F55
2016-11-16 19:29:14	>>		0105
2016-11-16 19:29:15	<<		7E803410580
2016-11-16 19:29:15	>>		010C
2016-11-16 19:29:15	<<		7E804410C1B9D
2016-11-16 19:29:15	>>		010D
2016-11-16 19:29:15	<<		7E803410D34
2016-11-16 19:29:15	>>		010F
2016-11-16 19:29:15	<<		7E803410F55
2016-11-16 19:29:15	>>		0105
2016-11-16 19:29:16	<<		7E803410580
2016-11-16 19:29:16	>>		010C
2016-11-16 19:29:16	<<		7E804410C1AE7
2016-11-16 19:29:16	>>		010D
2016-11-16 19:29:16	<<		7E803410D33
2016-11-16 19:29:16	>>		010F
2016-11-16 19:29:16	<<		7E803410F56
2016-11-16 19:29:16	>>		0105
2016-11-16 19:29:17	<<		7E803410580
2016-11-16 19:29:17	>>		010C
2016-11-16 19:29:17	<<		7E804410C1AD3
2016-11-16 19:29:17	>>		010D
2016-11-16 19:29:17	<<		7E803410D32
2016-11-16 19:29:17	>>		010F
2016-11-16 19:29:18	<<		7E803410F56
2016-11-16 19:29:18	>>		0105
2016-11-16 19:29:18	<<		7E803410580
2016-11-16 19:29:18	>>		010C
2016-11-16 19:29:18	<<		7E804410C1A13
2016-11-16 19:29:18	>>		010D
2016-11-16 19:29:18	<<		7E803410D31
2016-11-16 19:29:18	>>		010F
2016-11-16 19:29:19	<<		7E803410F56
2016-11-16 19:29:19	>>		0105
2016-11-16 19:29:19	<<		7E803410580
2016-11-16 19:29:19	>>		010C
2016-11-16 19:29:19	<<		7E804410C19A4
2016-11-16 19:29:19	>>		010D
2016-11-16 19:29:19	<<		7E803410D2F
2016-11-16 19:29:19	>>		010F
2016-11-16 19:29:20	<<		7E803410F56
2016-11-16 19:29:20	>>		0105
2016-11-16 19:29:20	<<		7E803410580
2016-11-16 19:29:20	>>		010C
2016-11-16 19:29:20	<<		7E804410C17E0
2016-11-16 19:29:20	>>		010D
2016-11-16 19:29:21	<<		7E803410D2D
2016-11-16 19:29:21	>>		010F
2016-11-16 19:29:21	<<		7E803410F56
2016-11-16 19:29:21	>>		0105
2016-11-16 19:29:21	<<		7E803410580
2016-11-16 19:29:21	>>		010C
2016-11-16 19:29:21	<<		7E804410C16F0
2016-11-16 19:29:21	>>		010D
2016-11-16 19:29:22	<<		7E803410D2B
2016-11-16 19:29:22	>>		010F
2016-11-16 19:29:22	<<		7E803410F56
2016-11-16 19:29:22	>>		0105
2016-11-16 19:29:22	<<		7E803410580
2016-11-16 19:29:22	>>		010C
2016-11-16 19:29:22	<<		7E804410C1694
2016-11-16 19:29:22	>>		010D
2016-11-16 19:29:23	<<		7E803410D2A
2016-11-16 19:29:23	>>		010F
2016-11-16 19:29:23	<<		7E803410F57
2016-11-16 19:29:23	>>		0105
2016-11-16 19:29:23	<<		7E803410580
2016-11-16 19:29:23	>>		010C
2016-11-16 19:29:23	<<		7E804410C15DC
2016-11-16 19:29:23	>>		010D
2016-11-16 19:29:24	<<		7E803410D29
2016-11-16 19:29:24	>>		010F
2016-11-16 19:29:24	<<		7E803410F57
2016-11-16 19:29:24	>>		0105
2016-11-16 19:29:24	<<		7E803410580
2016-11-16 19:29:24	>>		010C
2016-11-16 19:29:25	<<		7E804410C14BC
2016-11-16 19:29:25	>>		010D
2016-11-16 19:29:25	<<		7E803410D27
2016-11-16 19:29:25	>>		010F
2016-11-16 19:29:25	<<		7E803410F57
2016-11-16 19:29:25	>>		0105
2016-11-16 19:29:25	<<		7E803410580
2016-11-16 19:29:25	>>		010C
2016-11-16 19:29:26	<<		7E804410C1467
2016-11-16 19:29:26	>>		010D
2016-11-16 19:29:26	<<		7E803410D26
2016-11-16 19:29:26	>>		010F
2016-11-16 19:29:26	<<		7E803410F58
2016-11-16 19:29:26	>>		0105
2016-11-16 19:29:26	<<		7E80341057F
2016-11-16 19:29:26	>>		010C
2016-11-16 19:29:27	<<		7E804410C13E2
2016-11-16 19:29:27	>>		010D
2016-11-16 19:29:27	<<		7E803410D26
2016-11-16 19:29:27	>>		010F
2016-11-16 19:29:27	<<		7E803410F58
2016-11-16 19:29:27	>>		0105
2016-11-16 19:29:28	<<		7E80341057F
2016-11-16 19:29:28	>>		010C
2016-11-16 19:29:28	<<		7E804410C140A
2016-11-16 19:29:28	>>		010D
2016-11-16 19:29:28	<<		7E803410D26
2016-11-16 19:29:28	>>		010F
2016-11-16 19:29:28	<<		7E803410F58
2016-11-16 19:29:28	>>		0105
2016-11-16 19:29:29	<<		7E80341057F
2016-11-16 19:29:29	>>		010C
2016-11-16 19:29:29	<<		7E804410C13D7
2016-11-16 19:29:29	>>		010D
2016-11-16 19:29:29	<<		7E803410D27
2016-11-16 19:29:29	>>		010F
2016-11-16 19:29:29	<<		7E803410F57
2016-11-16 19:29:29	>>		0105
2016-11-16 19:29:30	<<		7E80341057F
2016-11-16 19:29:30	>>		010C
2016-11-16 19:29:30	<<		7E804410C14B6
2016-11-16 19:29:30	>>		010D
2016-11-16 19:29:30	<<		7E803410D28
2016-11-16 19:29:30	>>		010F
2016-11-16 19:29:31	<<		7E803410F57
2016-11-16 19:29:31	>>		0105
2016-11-16 19:29:31	<<		7E80341057F
2016-11-16 19:29:31	>>		010C
2016-11-16 19:29:31	<<		7E804410C1534
2016-11-16 19:29:31	>>		010D
2016-11-16 19:29:31	<<		7E803410D28
2016-11-16 19:29:31	>>		010F
2016-11-16 19:29:32	<<		7E803410F57
2016-11-16 19:29:32	>>		0105
2016-11-16 19:29:32	<<		7E80341057F
2016-11-16 19:29:32	>>		010C
2016-11-16 19:29:32	<<		7E804410C15C8
2016-11-16 19:29:32	>>		010D
2016-11-16 19:29:32	<<		7E803410D28
2016-11-16 19:29:32	>>		010F
2016-11-16 19:29:33	<<		7E803410F56
2016-11-16 19:29:33	>>		0105
2016-11-16 19:29:33	<<		7E80341057F
2016-11-16 19:29:33	>>		010C
2016-11-16 19:29:33	<<		7E804410C14CB
2016-11-16 19:29:33	>>		010D
2016-11-16 19:29:34	<<		7E803410D27
2016-11-16 19:29:34	>>		010F
2016-11-16 19:29:34	<<		7E803410F56
2016-11-16 19:29:34	>>		0105
2016-11-16 19:29:34	<<		7E80341057F
2016-11-16 19:29:34	>>		010C
2016-11-16 19:29:34	<<		7E804410C1331
2016-11-16 19:29:34	>>		010D
2016-11-16 19:29:35	<<		7E803410D24
2016-11-16 19:29:35	>>		010F
2016-11-16 19:29:35	<<		7E803410F56
2016-11-16 19:29:35	>>		0105
2016-11-16 19:29:35	<<		7E80341057F
2016-11-16 19:29:35	>>		010C
2016-11-16 19:29:35	<<		7E804410C12A8
2016-11-16 19:29:35	>>		010D
2016-11-16 19:29:36	<<		7E803410D22
2016-11-16 19:29:36	>>		010F
2016-11-16 19:29:36	<<		7E803410F56
2016-11-16 19:29:36	>>		0105
2016-11-16 19:29:36	<<		7E80341057F
2016-11-16 19:29:36	>>		010C
2016-11-16 19:29:37	<<		7E804410C1187
2016-11-16 19:29:37	>>		010D
2016-11-16 19:29:37	<<		7E803410D20
2016-11-16 19:29:37	>>		010F
2016-11-16 19:29:37	<<		7E803410F56
2016-11-16 19:29:37	>>		0105
2016-11-16 19:29:37	<<		7E80341057F
2016-11-16 19:29:37	>>		010C
2016-11-16 19:29:38	<<		7E804410C1036
2016-11-16 19:29:38	>>		010D
2016-11-16 19:29:38	<<		7E803410D1F
2016-11-16 19:29:38	>>		010F
2016-11-16 19:29:38	<<		7E803410F57
2016-11-16 19:29:38	>>		0105
2016-11-16 19:29:38	<<		7E80341057F
2016-11-16 19:29:38	>>		010C
2016-11-16 19:29:39	<<		7E804410C0FFD
2016-11-16 19:29:39	>>		010D
2016-11-16 19:29:39	<<		7E803410D1E
2016-11-16 19:29:39	>>		010F
2016-11-16 19:29:39	<<		7E803410F57
2016-11-16 19:29:39	>>		0105
2016-11-16 19:29:40	<<		7E80341057F
2016-11-16 19:29:40	>>		010C
2016-11-16 19:29:40	<<		7E804410C0FE7
2016-11-16 19:29:40	>>		010D
2016-11-16 19:29:40	<<		7E803410D1D
2016-11-16 19:29:40	>>		010F
2016-11-16 19:29:40	<<		7E803410F57
2016-11-16 19:29:40	>>		0105
2016-11-16 19:29:41	<<		7E80341057F
2016-11-16 19:29:41	>>		010C
2016-11-16 19:29:41	<<		7E804410C0C83
2016-11-16 19:29:41	>>		010D
2016-11-16 19:29:41	<<		7E803410D1D
2016-11-16 19:29:41	>>		010F
2016-11-16 19:29:41	<<		7E803410F57
2016-11-16 19:29:41	>>		0105
2016-11-16 19:29:42	<<		7E80341057F
